year_built,wn_site_eui,wn_source_eui,Latitude,Longitude
"2,000",59.5,106.1,40.717524,-74.015469
"1,969",74.8,152.4,40.708082,-74.014446
"2,009",106.5,188.7,40.707997,-74.013713
"1,929",75.4,159.5,40.70601,-74.01315
"1,928",86.7,205,40.706251,-74.012952
"1,983",83.9,219.3,40.706397,-74.012829
"2,013",74,197.3,40.706638,-74.012631
"1,916",50.2,136.9,40.706995,-74.012335
"1,917",76.6,232.9,40.707113,-74.012234
"1,900",61.9,150.8,40.724916,-73.997193
"1,898",Not Available,Not Available,40.707234,-74.012137
"1,900",97.9,224,40.706045,-74.013096
"1,904",91.6,229.6,40.70627,-74.012909
"1,927",54.5,129.1,40.706449,-74.012761
"1,980",78.9,192.3,40.706493,-74.012725
"1,904",301.5,732,40.707399,-74.011105
"1,956",40.5,79.2,40.706553,-74.011033
"1,962",85.5,196.2,40.705351,-74.011502
"1,913",47.3,110.8,40.705689,-74.011455
"1,982",119.6,260.3,40.706021,-74.011332
"1,967",94,218,40.705189,-74.011505
"1,902",77.4,177.5,40.705939,-74.010283
"2,005",113.4,227,40.705209,-74.009998
"1,920",76,144.9,40.70674,-74.010095
"1,997",60.1,121.1,40.706595,-74.009861
"1,926",57.1,120.3,40.706531,-74.011022
"1,836",219.6,438.3,40.706191,-74.009165
"1,929",58.2,119.7,40.705634,-74.009378
"1,926",107.3,165.8,40.704808,-74.009623
"1,962",102.3,209.6,40.704923,-74.009046
"1,931",Not Available,Not Available,40.705324,-74.008873
"1,987",68.8,145.7,40.70536,-74.008602
"1,983",72.2,176.9,40.704215,-74.011559
"1,907",86.1,220.1,40.704827,-74.009792
"1,929",164.6,455.9,40.704487,-74.011556
"1,960",370.5,747.8,40.704624,-74.010568
"1,827",101.2,207.6,40.70509,-74.010607
"1,983",75.4,191.9,40.70447,-74.009406
"1,972",76.4,163.5,40.704328,-74.00923
"1,987",145.6,329.3,40.705486,-74.007874
"1,972",110.3,268.1,40.703383,-74.010138
"1,969",76.2,164.8,40.704932,-74.007488
"1,987",90.4,240,40.70388,-74.00822
"1,968",71,187.7,40.704553,-74.006636
"1,965",77.1,173.8,40.704638,-74.006694
"1,983",60,127.3,40.705308,-74.004873
"1,969",87.6,193.8,40.70497,-74.007084
"1,973",164.6,304.1,40.70536,-74.00629
"1,902",Not Available,Not Available,40.705415,-74.007729
"1,902",Not Available,Not Available,40.705456,-74.007794
"1,960",113,237.8,40.7066,-74.006633
"1,956",118.4,234.2,40.705522,-74.006929
"1,989",119.3,317.7,,
"1,926",70.1,191.3,40.706331,-74.009396
"1,902",121.3,275.3,40.706773,-74.009143
"2,004",102.8,204.2,40.706606,-74.008404
"1,900",47.9,108.6,,
"1,931",100.5,286.4,40.7064,-74.008043
"1,930",82.8,185.8,40.706867,-74.00699
"2,002",108.9,183.7,40.707641,-74.008155
"1,929",62.5,153.7,40.706625,-74.009875
"1,954",78,201.2,40.706839,-74.010218
"1,928",60.9,148.6,40.707588,-74.010013
"1,932",102.6,245.5,40.707725,-74.011632
"1,922",56,169.7,40.70814,-74.011373
"1,912",117.2,243,40.707347,-74.010997
"1,915",67.7,170.6,40.708546,-74.011041
"1,967",132.6,259.6,40.709043,-74.010626
"1,905",41.7,131.1,40.708486,-74.011113
"1,908",128,250.7,40.708631,-74.010997
"1,907",25.9,81.4,40.707808,-74.013053
"1,921",Not Available,Not Available,40.708645,-74.01239
"1,900",89.8,135.9,40.71002,-74.012408
"1,900",145.9,248.6,40.709938,-74.012235
"1,929",99.4,149.6,40.70856,-74.013349
"1,903",116.4,224.4,40.709089,-74.013118
"2,010",19643.4,23676.7,40.709139,-74.01402
"1,926",73.1,147.6,40.709037,-74.015109
"1,921",100.8,205.6,40.708356,-74.014814
"2,009",100.8,222.4,40.709729,-74.013818
"1,908",52.3,126.9,40.710009,-74.01476
"1,972",96.7,235.7,40.70943,-74.011102
"1,973",172.2,340.9,40.710223,-74.010897
"1,909",96.9,169.1,40.708642,-74.009407
"1,600",62.9,154.3,40.70932,-74.010392
"1,908",112.5,224.5,40.709493,-74.01024
"1,902",123.1,199.2,40.709669,-74.010092
"1,908",59.2,140.9,40.709482,-74.009356
"1,900",Not Available,Not Available,40.709606,-74.009555
"1,927",65.1,124.6,40.709932,-74.009869
"1,924",114.5,245.5,40.707899,-74.008473
"1,965",89.7,162.4,40.708266,-74.008231
"1,986",62.1,169.4,40.709114,-74.008812
"1,959",118,258.6,40.707443,-74.007607
"1,925",20504.8,24762.2,40.707657,-74.007758
"1,999",97.3,211.6,40.707753,-74.006918
"1,972",171.8,436.8,40.708497,-74.007477
"1,927",Not Available,Not Available,40.708445,-74.006886
"1,967",Not Available,Not Available,40.708184,-74.007787
"2,000",95.9,158.5,40.707295,-74.007336
"1,931",66,141.5,40.707605,-74.00572
"1,932",131.6,271.2,40.708173,-74.006464
"1,971",143.3,220.4,40.706787,-74.005114
"1,969",117.1,261.7,40.706452,-74.005594
"1,959",51.9,138.7,40.706397,-74.006341
"1,982",81.6,224.7,40.706699,-74.005208
"1,900",39.8,84.8,40.705618,-74.004162
"1,984",77,208.4,40.70727,-74.004314
"1,961",82.7,161.6,40.707218,-74.005316
"1,986",54.9,172.2,40.707904,-74.004411
"1,936",71.8,169.5,40.707671,-74.005764
"1,925",117.9,177.6,,
"2,009",60.5,116,40.708774,-74.005872
"2,000",Not Available,Not Available,40.708143,-74.00545
"2,003",111.8,201.8,40.708006,-74.006164
"1,926",75.1,159.1,40.708338,-74.006684
"1,958",50.2,110.5,40.708791,-74.007189
"1,905",57.7,104.3,40.709359,-74.006644
"1,957",71.4,163.5,40.709112,-74.006889
"1,900",39.2,118.9,40.708988,-74.007654
"1,909",97.1,187,40.708763,-74.007243
"1,908",20.8,65.2,40.709241,-74.008
"1,900",83.6,170.8,40.710372,-74.008062
"1,906",44,78,40.709639,-74.008325
"1,916",63.9,150.8,40.710536,-74.009378
